Family,2017 Priority Pathogens,2018 Priority Pathogens,2024 PHEIC Risk,2024 Priority Pathogens,2024 Prototype Pathogens
Adenoviridae,,,Low-Medium,,Recombinant Mastadenovirus
Adenoviridae,,,Low-Medium,,Mastadenovirus blackbeardi serotype 14
Anelloviridae,,,Low,,,
Arenaviridae,Arenaviral hemorrhagic fevers including Lassa Fever,Lassa Fever virus,High,Mammarenavirus lassaense,Mammarenavirus lassaense
Arenaviridae,,,High,,Mammarenavirus juninense
Arenaviridae,,,High,,Mammarenavirus lujoense
Astroviridae,,,Low,,Mamastrovirus virginiaense
Bacteria,,,High,Vibrio cholerae serogroup O139,
Bacteria,,,High,Yersinia Pestis,
Bacteria,,,High,Shigella dysenteriae serotype 1,
Bacteria,,,High,Salmonella enterica non-typhoidal serovars,
Bacteria,,,High,Klebsiella pneumoniae,
Bornaviridae,,,Low,Orthobornavirus bornaense
Coronaviridae,Middle East Respiratory Syndrome Coronavirus,Middle East Respiratory Syndrome Coronavirus,High,Subgenus Merbecovirus,Subgenus Merbecovirus
Coronaviridae,Other highly pathogenic coronaviral diseases such as Severe Acute Respiratory Syndrome,Severe Acute Respiratory Syndrome,High,Subgenus Sarbecovirus,Subgenus Sarbecovirus
Filoviridae,Filoviral diseases - Ebola,Ebola virus disease,High,Orthoebolavirus zairense,Orthoebolavirus zairense
Filoviridae,Filoviral diseases - Marburg,Marburg virus disease,High,Orthomarburgvirus marburgense,
Filoviridae,,,High,Orthomarburgvirus sudanense,
Flaviviridae,Zika virus,Zika virus,High,Orthoflavivirus zikaense,Orthoflavivirus zikaense
Flaviviridae,,,High,Orthoflavivirus denguei,Orthoflavivirus denguei
Flaviviridae,,,High,Orthoflavivirus flavi,
Flaviviridae,,,High,,Orthoflavivirus encephalitidis
Flaviviridae,,,High,,Orthoflavivirus nilense
Hantaviridae,,,High,Orthohantavirus sinnombreense,Orthohantavirus sinnombreense
Hantaviridae,,,High,Orthohantavirus hantanense,
Hepadnaviridae,,,Low,,Orthohepadnavirus hominoidei genotype C
Hepeviridae,,,Low,,Paslahepevirus balayani genotype 3
Herpesviridae,,,Low,,,
Nairoviridae,Crimean Congo Haemorrhagic Fever,Crimean Congo Haemorrhagic Fever,High,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae
Orthomyxoviridae,,,High,Alphainfluenzavirus Influenzae H1,Alphainfluenzavirus Influenzae H1
Orthomyxoviridae,,,High,Alphainfluenzavirus Influenzae H2,
Orthomyxoviridae,,,High,Alphainfluenzavirus Influenzae H3,
Orthomyxoviridae,,,High,Alphainfluenzavirus Influenzae H5,Alphainfluenzavirus Influenzae H5
Orthomyxoviridae,,,High,Alphainfluenzavirus Influenzae H6,
Orthomyxoviridae,,,High,Alphainfluenzavirus Influenzae H7,
Orthomyxoviridae,,,High,Alphainfluenzavirus Influenzae H10,
Papillomaviridae,,,Low,,,
Paramyxoviridae,Nipah and related henipaviral diseases,Nipah and henipaviral diseases,High,Henipavirus nipahense,Henipavirus nipahense
Parvoviridae,,,Low,,Protoparvovirus carnivoran
Peribunyaviridae,,,Low,,Orthobunyavirus oropoucheense
Phenuiviridae,Severe fever with Thrombocytopenia Syndrome,,High,Bandavirus dabieense,Bandavirus dabieense
Phenuiviridae,Rift Valley Fever,Rift Valley Fever,High,,Phlebovirus riftense
Picobirnaviridae,,,Low,,Orthopicobirnavirus hominis
Picornaviridae,,,Medium,Enterovirus coxsackiepol,
Picornaviridae,,,Medium,,Enterovirus alphacoxsackie 71
Picornaviridae,,,Medium,,Enterovirus deconjucti 68
Pneumoviridae,,,Low-Medium,,Metapneumovirus hominis
Polyomaviridae,,,Low,,,
Poxviridae,,,High,Orthopoxvirus variola,
Poxviridae,,,,High,Orthopoxvirus vaccinia
Poxviridae,,,High,Orthopoxvirus monkeypox,Orthopoxvirus monkeypox
Retroviridae,,,Medium,Lentivirus humimdef1,Lentivirus humimdef1
Rhabdoviridae,,,Low,,Genus Vesiculovirus
Sedoreoviridae,,,Low,,Genus Rotavirus
Spinareoviridae,,,Low,,Orthoreovirus mammalis
Togaviridae,,,High,Alphavirus chikungunya,Alphavirus chikungunya
Togaviridae,,,High,Alphavirus venezuelan,Alphavirus venezuelan
