sra_name,sample_name
SRR9637806,1
SRR9637805,2
SRR9637804,3
SRR9637803,4
SRR9637802,5
SRR9637801,6
SRR9637800,7
SRR9637799,8
SRR9637798,9
SRR9637797,10
SRR9637819,11
SRR9637818,12
SRR9637821,13
SRR9637820,14
SRR9637815,15
SRR9637814,16
SRR9637817,17
SRR9637816,18
SRR9637827,19
SRR9637826,20
SRR9637788,21
SRR9637789,22
SRR9637790,23
SRR9637791,24
SRR9637792,25
SRR9637793,26
SRR9637794,27
SRR9637795,28
SRR9637786,29
SRR9637787,30
SRR9637829,31
SRR9637828,32
SRR9637830,33
SRR9637796,34
SRR9637825,35
SRR9637824,36
SRR9637823,37
SRR9637822,38
SRR9637808,39
SRR9637807,40
SRR9637835,41
SRR9637836,42
SRR9637833,43
SRR9637834,44
SRR9637839,45
SRR9637840,46
SRR9637837,47
SRR9637838,48
SRR9637831,C1
SRR9637832,C2
SRR9637810,C3
SRR9637809,C4
SRR9637812,C5
SRR9637811,C6
SRR9637813,C7
